filename,umap_3d_kmeans,tsne_3d_kmeans,pca_3d_kmeans,pca_256D_kmeans,umap_3d_hdbscan,tsne_3d_hdbscan,umap_3d_silhouette,tsne_3d_silhouette,pca_3d_hdbscan,pca_256D_hdbscan,umap_20d_hdbscan,tsne_20d_hdbscan,ToReview,Prediction,ReviewReason,ReviewCluster
channelA_2025-05-16_17-22-28.wav,21,,20,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-33.wav,21,,19,12,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-38.wav,21,,19,21,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-43.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-48.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-53.wav,21,,19,0,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-58.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-03.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-08.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-13.wav,21,,19,0,5,,3,,0,1,0,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-18.wav,21,7,19,21,5,0,3,1,25,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-23.wav,21,7,19,0,5,0,3,1,25,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-28.wav,21,,19,21,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-33.wav,21,,5,21,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-38.wav,21,,5,21,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-43.wav,21,,19,21,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-48.wav,21,,5,12,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-53.wav,21,,19,21,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-23-58.wav,21,,5,14,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-03.wav,21,7,5,0,5,0,3,1,0,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-08.wav,21,,5,21,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-13.wav,21,,19,14,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-18.wav,21,,19,21,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-23.wav,21,7,5,0,5,0,3,1,0,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-28.wav,21,,5,14,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-33.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-38.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-43.wav,21,,5,14,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-48.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-53.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-24-58.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-30-18.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-30-23.wav,21,7,20,12,4,0,3,1,25,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-30-28.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-30-33.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-30-38.wav,21,7,19,12,4,0,3,1,25,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-30-48.wav,21,7,5,12,4,0,3,1,0,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-30-53.wav,21,,21,10,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-30-58.wav,21,,5,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-03.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-08.wav,21,,19,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-13.wav,21,,5,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-18.wav,21,,19,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-23.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-28.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-33.wav,21,,5,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-38.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-43.wav,21,,5,7,4,,3,,0,0,0,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-48.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-53.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-31-58.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-03.wav,21,10,5,7,4,3,3,1,0,1,4,9,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-08.wav,21,,5,7,4,,3,,0,1,0,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-13.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-18.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-23.wav,21,,5,7,4,,3,,0,0,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-28.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-38.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-43.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-48.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-53.wav,21,,5,7,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-32-58.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-03.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-08.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-13.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-23.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-28.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-33.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-38.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-43.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-48.wav,21,7,5,0,4,0,3,1,0,1,0,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-53.wav,21,7,19,21,4,0,3,1,0,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-33-58.wav,21,7,19,21,4,0,3,1,25,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-34-03.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-34-08.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-34-13.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-34-18.wav,21,,5,21,4,,3,,0,0,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-34-33.wav,21,7,21,21,4,0,3,1,0,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-34-38.wav,21,,5,21,4,,3,,0,0,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-34-43.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-34-48.wav,21,,5,21,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
