filename,umap_3d_kmeans,tsne_3d_kmeans,pca_3d_kmeans,pca_256D_kmeans,umap_3d_hdbscan,tsne_3d_hdbscan,umap_3d_silhouette,tsne_3d_silhouette,pca_3d_hdbscan,pca_256D_hdbscan,umap_20d_hdbscan,tsne_20d_hdbscan,ToReview,Prediction
channelA_2025-05-16_17-04-58.wav,24,19,21,10,3,0,4,0,0,1,3,0,False,
channelA_2025-05-16_17-10-03.wav,21,,20,14,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-10-08.wav,21,7,19,12,4,0,3,1,0,1,4,0,True,
channelA_2025-05-16_17-10-13.wav,21,,20,12,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-10-18.wav,21,,19,12,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-10-23.wav,21,,20,12,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-10-28.wav,21,,20,14,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-10-33.wav,21,,20,14,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-10-38.wav,21,,20,14,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-10-43.wav,21,,20,14,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-10-48.wav,21,,20,0,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-10-53.wav,21,,19,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-10-58.wav,21,,19,12,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-11-03.wav,21,,19,12,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-11-08.wav,21,,19,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-11-13.wav,21,,19,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-11-18.wav,21,,19,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-11-23.wav,21,,20,14,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-11-33.wav,21,,19,0,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-11-38.wav,21,,19,14,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-11-43.wav,21,,16,10,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-11-48.wav,21,,21,0,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-11-53.wav,21,,21,0,4,,3,,0,1,4,,True,
channelA_2025-05-16_17-12-13.wav,21,,19,7,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-12-18.wav,21,,19,7,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-12-23.wav,21,,19,7,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-12-28.wav,21,,5,21,5,,3,,0,1,5,,True,
channelA_2025-05-16_17-12-33.wav,21,,19,21,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-12-38.wav,21,7,19,14,5,0,3,1,25,1,5,0,True,
channelA_2025-05-16_17-12-43.wav,21,,19,14,5,,3,,25,1,5,,True,
